name,institution,homepage,scholarid,region,countryabbrv,Gender
Mohammad Abdollahi Azgomi,IUST,http://www.iust.ac.ir/content/8313/Dr.-Abdollahi-Azgomi,OcWAFjcAAAAJ,asia,ir,male
Mohammad Reza Jahed-Motlagh,IUST,http://ce.iust.ac.ir/content/1049/Dr.-Jahed-Motlagh,i5G246QAAAAJ,asia,ir,male
Mohammad Reza Kangavari 0001,IUST,http://www.iust.ac.ir/content/1064/Dr.Kangavari,PJa-dVMAAAAJ,asia,ir,male
Mohammad Reza Mohammadi,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=18188&sid=14&slc_lang=en,H34y7Q0AAAAJ,asia,ir,male
MohammadReza Jahed-Motlagh,IUST,http://ce.iust.ac.ir/content/1049/Dr.-Jahed-Motlagh,i5G246QAAAAJ,asia,ir,unknown
Mohammadreza Kangavari,IUST,http://www.iust.ac.ir/content/1064/Dr.Kangavari,PJa-dVMAAAAJ,asia,ir,unknown
Mohsen Sharifi,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=6531&sid=14&slc_lang=en,lboyQG8AAAAJ,asia,ir,male
Mohsen Soryani,IUST,http://ce.iust.ac.ir/content/527/Mohsen-Soryani,NOSCHOLARPAGE,asia,ir,male
Morteza Analoui,IUST,http://ce.iust.ac.ir/content/580/welcome-you-to-his-web-page,WN82kZoAAAAJ,asia,ir,male
Naser Mozayani,IUST,http://ce.iust.ac.ir/content/583/Dr-mozayani,LAAM5tEAAAAJ,asia,ir,male
Nasser Mozayani,IUST,http://ce.iust.ac.ir/content/583/Dr-mozayani,LAAM5tEAAAAJ,asia,ir,male
Peyman Kabiri,IUST,http://ce.iust.ac.ir/content/582/Peyman-Kabiri,NOSCHOLARPAGE,asia,ir,male
Reza Berangi,IUST,http://www.iust.ac.ir/content/1074/Berangi-Reza.-PH.D,A030YlYAAAAJ,asia,ir,mostly_male
Reza Entezari-Maleki,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=18357&sid=14&slc_lang=en,nOx3MnAAAAAJ,asia,ir,mostly_male
Saeed Parsa,IUST,http://www.iust.ac.ir/page.php?slct_pg_id=717&sid=14&slc_lang=en,uONxvOwAAAAJ,asia,ir,male
Sauleh Eetemadi,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=18192&sid=14&slc_lang=en,Q25s5KkAAAAJ,asia,ir,unknown
Sayed Vahid Azhari,IUST,http://ce.iust.ac.ir/content/7755/Dr.-Azhari,-mM5PJAAAAAJ,asia,ir,male
Seyed Vahid Azhari,IUST,http://ce.iust.ac.ir/content/7755/Dr.-Azhari,-mM5PJAAAAAJ,asia,ir,male
Vesal Hakami,IUST,http://www.iust.ac.ir/page.php?slct_pg_id=18186&sid=14&slc_lang=en,l3D_gCAAAAAJ,asia,ir,unknown
Zeinab Movahedi,IUST,http://www.iust.ac.ir/content/26538/Dr-Zeinab-Movahedi,2179AKkAAAAJ,asia,ir,female
A. Aldo Faisal,Imperial College London,https://www.imperial.ac.uk/people/a.faisal,WjHjbrwAAAAJ,europe,uk,unknown
A. J. Field,Imperial College London,http://wp.doc.ic.ac.uk/ajf,rn3Lg2wAAAAJ,europe,uk,unknown
Abbas Edalat,Imperial College London,https://www.doc.ic.ac.uk/~ae,KP1AXgwAAAAJ,europe,uk,male
Abhijeet Ghosh,Imperial College London,http://www.doc.ic.ac.uk/~ghosh,EG_UZvwAAAAJ,europe,uk,unknown
Alastair F. Donaldson,Imperial College London,http://multicore.doc.ic.ac.uk,ZIUuqNwAAAAJ,europe,uk,male
Aldo A. Faisal,Imperial College London,https://www.imperial.ac.uk/people/a.faisal,WjHjbrwAAAAJ,europe,uk,male
Aldo Faisal,Imperial College London,https://www.imperial.ac.uk/people/a.faisal,WjHjbrwAAAAJ,europe,uk,male
Alessandra Russo,Imperial College London,http://www.imperial.ac.uk/people/a.russo,_6zceo4AAAAJ,europe,uk,female
Alessio Lomuscio,Imperial College London,http://www.doc.ic.ac.uk/~alessio,xdWZkEEAAAAJ,europe,uk,male
Alessio R. Lomuscio,Imperial College London,http://www.doc.ic.ac.uk/~alessio,xdWZkEEAAAAJ,europe,uk,male
Andrew J. Davison,Imperial College London,https://www.doc.ic.ac.uk/~ajd,SNQFnBEAAAAJ,europe,uk,male
Anthony J. Field,Imperial College London,http://wp.doc.ic.ac.uk/ajf,rn3Lg2wAAAAJ,europe,uk,male
Antoine Cully,Imperial College London,https://www.imperial.ac.uk/people/a.cully,rZtJlPQAAAAJ,europe,uk,male
Antonio Filieri,Imperial College London,http://www.antonio.filieri.name,MdbPRwMAAAAJ,europe,uk,male
Arthur Gervais,Imperial College London,http://arthurgervais.com,jLr_xi4AAAAJ,europe,uk,male
Azalea Raad,Imperial College London,http://www.soundandcomplete.org,NOSCHOLARPAGE,europe,uk,unknown
Ben Glocker,Imperial College London,http://wp.doc.ic.ac.uk/bglocker,g_HtjLIAAAAJ,europe,uk,male
Benjamin M. Glocker,Imperial College London,http://wp.doc.ic.ac.uk/bglocker,g_HtjLIAAAAJ,europe,uk,male
Bernhard Kainz,Imperial College London,http://www.imperial.ac.uk/people/b.kainz,Igxq-YEAAAAJ,europe,uk,male
Björn W. Schuller,Imperial College London,https://www.doc.ic.ac.uk/~bschulle,TxKNCSoAAAAJ,europe,uk,male
Cristian Cadar,Imperial College London,https://www.doc.ic.ac.uk/~cristic,xQPpd1wAAAAJ,europe,uk,male
Cristiano Calcagno,Imperial College London,http://www.imperial.ac.uk/collegedirectory/index.asp?PeopleID=767740,NOSCHOLARPAGE,europe,uk,male
Dalal Alrajeh,Imperial College London,https://www.doc.ic.ac.uk/~da04,onAoWhIAAAAJ,europe,uk,mostly_female
Daniel Rueckert,Imperial College London,http://wp.doc.ic.ac.uk/dr,H0O0WnQAAAAJ,europe,uk,male
Dario Paccagnan,Imperial College London,https://www.doc.ic.ac.uk/~dp414,Y7wBGG8AAAAJ,europe,uk,male
Edward David Johns,Imperial College London,https://www.imperial.ac.uk/people/e.johns,dHec-LkAAAAJ,europe,uk,male
Edward Johns,Imperial College London,https://www.imperial.ac.uk/people/e.johns,dHec-LkAAAAJ,europe,uk,male
Emil C. Lupu,Imperial College London,http://www.imperial.ac.uk/people/e.c.lupu,e23mVyoAAAAJ,europe,uk,male
Emil Constantine Lupu,Imperial College London,http://www.imperial.ac.uk/people/e.c.lupu,e23mVyoAAAAJ,europe,uk,male
Emil Lupu,Imperial College London,http://www.imperial.ac.uk/people/e.c.lupu,e23mVyoAAAAJ,europe,uk,male
Fariba Sadri,Imperial College London,http://www.doc.ic.ac.uk/~fs,1CN_q7kAAAAJ,europe,uk,female
Francesca Toni,Imperial College London,http://www.doc.ic.ac.uk/~ft,L9dwO2cAAAAJ,europe,uk,female
Francesco Belardinelli,Imperial College London,https://www.doc.ic.ac.uk/~fbelard,Mr35r1EAAAAJ,europe,uk,male
Giuliano Casale,Imperial College London,http://wp.doc.ic.ac.uk/gcasale,Os1VLoQAAAAJ,europe,uk,male
Guang-Zhong Yang,Imperial College London,http://www.imperial.ac.uk/people/g.z.yang,NOSCHOLARPAGE,europe,uk,andy
Herbert Wiklicky,Imperial College London,http://www.doc.ic.ac.uk/~herbert,6Uh6z5AAAAAJ,europe,uk,male
Holger Pirk,Imperial College London,https://www.doc.ic.ac.uk/~hlgr,1jP_gqcAAAAJ,europe,uk,male
Iain C. C. Phillips,Imperial College London,http://www.imperial.ac.uk/collegedirectory/index.asp?PeopleID=941691,NOSCHOLARPAGE,europe,uk,male
Iain Phillips,Imperial College London,http://www.imperial.ac.uk/collegedirectory/index.asp?PeopleID=941691,NOSCHOLARPAGE,europe,uk,male
Iain Phillips 0001,Imperial College London,http://www.imperial.ac.uk/collegedirectory/index.asp?PeopleID=941691,NOSCHOLARPAGE,europe,uk,male
Iddo Tzameret,Imperial College London,https://www.doc.ic.ac.uk/~itzamere,NOSCHOLARPAGE,europe,uk,male
Islem Rekik,Imperial College London,https://basira-lab.com,NOSCHOLARPAGE,europe,uk,unknown
Jeff Kramer,Imperial College London,http://wp.doc.ic.ac.uk/jk,t-fuDjMAAAAJ,europe,uk,male
Jeffrey Kramer,Imperial College London,http://wp.doc.ic.ac.uk/jk,t-fuDjMAAAAJ,europe,uk,male
John Knottenbelt,Imperial College London,http://www.imperial.ac.uk/people/w.knottenbelt,Vz8XWRoAAAAJ,europe,uk,male
Julie A. McCann,Imperial College London,http://wp.doc.ic.ac.uk/aese/person/julie-a-mccann,S6wyzdwAAAAJ,europe,uk,female
Julie Ann McCann,Imperial College London,http://wp.doc.ic.ac.uk/aese/person/julie-a-mccann,S6wyzdwAAAAJ,europe,uk,female
Kin K. Leung,Imperial College London,http://www.commsp.ee.ic.ac.uk/~kkleung,IpG80kwAAAAJ,europe,uk,andy
Lluís Vilanova,Imperial College London,https://www.doc.ic.ac.uk/~lvilanov,aMMzgPoAAAAJ,europe,uk,unknown
Lluís Vilanova García,Imperial College London,https://www.doc.ic.ac.uk/~lvilanov,aMMzgPoAAAAJ,europe,uk,unknown
Lucia Specia,Imperial College London,http://wp.doc.ic.ac.uk/lspecia,wVl_z8kAAAAJ,europe,uk,female
Maja Pantic,Imperial College London,http://www.ibug.doc.ic.ac.uk/maja,ygpxbK8AAAAJ,europe,uk,female
Marek Rei,Imperial College London,https://www.marekrei.com,nNeD95EAAAAJ,europe,uk,male
Mario Berta,Imperial College London,http://marioberta.info,pc_5htgAAAAJ,europe,uk,male
Marios Kogias,Imperial College London,https://marioskogias.github.io,DYzTOKYAAAAJ,europe,uk,male
Marios-Evangelos Kogias,Imperial College London,https://marioskogias.github.io,DYzTOKYAAAAJ,europe,uk,unknown
Mark van der Wilk,Imperial College London,https://markvdw.github.io,PKcjcT4AAAAJ,europe,uk,male
Michael Bronstein,Imperial College London,https://www.imperial.ac.uk/people/m.bronstein,UU3N6-UAAAAJ,europe,uk,male
Michael Huth,Imperial College London,http://www.doc.ic.ac.uk/~mrh,ZBlUaIAAAAAJ,europe,uk,male
Morris Sloman,Imperial College London,http://wp.doc.ic.ac.uk/mss,ey299DUAAAAJ,europe,uk,male
Murray Shanahan,Imperial College London,https://www.doc.ic.ac.uk/~mpsha,00bnGpAAAAAJ,europe,uk,male
Naranker Dulay,Imperial College London,http://wp.doc.ic.ac.uk/nd,KXfVZq0AAAAJ,europe,uk,unknown
Nicolas Wu,Imperial College London,https://www.imperial.ac.uk/people/n.wu,0E8zPucAAAAJ,europe,uk,male
Nicole Salomons,Imperial College London,https://www.nicolesalomons.com,NOSCHOLARPAGE,europe,uk,female
Nobuko Yoshida,Imperial College London,https://www.doc.ic.ac.uk/~yoshida,4T-p76AAAAAJ,europe,uk,female
Panos Parpas,Imperial College London,http://www.doc.ic.ac.uk/~pp500,yXcvHysAAAAJ,europe,uk,male
Paul H. J. Kelly,Imperial College London,https://www.imperial.ac.uk/people/p.kelly,GIDpay0AAAAJ,europe,uk,male
Pedro Mediano,Imperial College London,https://pmediano.gitlab.io,I9-416MAAAAJ,europe,uk,male
Peter G. Harrison,Imperial College London,http://www.imperial.ac.uk/people/p.harrison,f6GUPSUAAAAJ,europe,uk,male
Peter McBrien,Imperial College London,http://www.doc.ic.ac.uk/~pjm,VVV8tSwAAAAJ,europe,uk,male
Peter Pietzuch,Imperial College London,https://www.doc.ic.ac.uk/~prp,vYcHYoYAAAAJ,europe,uk,male
Peter R. Pietzuch,Imperial College London,https://www.doc.ic.ac.uk/~prp,vYcHYoYAAAAJ,europe,uk,male
Peter Robert Pietzuch,Imperial College London,https://www.doc.ic.ac.uk/~prp,vYcHYoYAAAAJ,europe,uk,male
Philippa Gardner,Imperial College London,https://www.doc.ic.ac.uk/~pg,LDe0mUwAAAAJ,europe,uk,female
Ruth Misener,Imperial College London,https://wp.doc.ic.ac.uk/rmisener,zvEK6hMAAAAJ,europe,uk,female
Sergio Maffeis,Imperial College London,https://www.doc.ic.ac.uk/~maffeis,ODKP7a0AAAAJ,europe,uk,male
Sophia Drossopoulou,Imperial College London,https://wp.doc.ic.ac.uk/sd,5g4VizIAAAAJ,europe,uk,female
Soteris Demetriou,Imperial College London,https://www.imperial.ac.uk/computing/people/academic-staff,4utItXUAAAAJ,europe,uk,unknown
Stefanos P. Zafeiriou,Imperial College London,http://www.imperial.ac.uk/people/s.zafeiriou,QKOH5iYAAAAJ,europe,uk,male
Stefanos Zafeiriou,Imperial College London,http://www.imperial.ac.uk/people/s.zafeiriou,QKOH5iYAAAAJ,europe,uk,male
Steffen van Bakel,Imperial College London,http://www.doc.ic.ac.uk/~svb,wSUVpA0AAAAJ,europe,uk,male
Stephen H. Muggleton,Imperial College London,http://wp.doc.ic.ac.uk/shm,WxJXT2MAAAAJ,europe,uk,male
Stephen Muggleton,Imperial College London,http://wp.doc.ic.ac.uk/shm,WxJXT2MAAAAJ,europe,uk,male
Susan Eisenbach,Imperial College London,http://www.imperial.ac.uk/people/s.eisenbach,fpMB-WYAAAAJ,europe,uk,female
Thomas Heinis,Imperial College London,http://wp.doc.ic.ac.uk/theinis,yJ998VYAAAAJ,europe,uk,male
Tolga Birdal,Imperial College London,https://tolgabirdal.github.io,_Bxd5ggAAAAJ,europe,uk,male
Tony Field,Imperial College London,http://wp.doc.ic.ac.uk/ajf,rn3Lg2wAAAAJ,europe,uk,male
Wayne Luk,Imperial College London,https://www.doc.ic.ac.uk/~wl,F1JYd9UAAAAJ,europe,uk,male
Wayne W. C. Luk,Imperial College London,https://www.doc.ic.ac.uk/~wl,F1JYd9UAAAAJ,europe,uk,male
William J. Knottenbelt,Imperial College London,http://www.imperial.ac.uk/people/w.knottenbelt,Vz8XWRoAAAAJ,europe,uk,male
William John Knottenbelt,Imperial College London,http://www.imperial.ac.uk/people/w.knottenbelt,Vz8XWRoAAAAJ,europe,uk,male
Yi-Ke Guo,Imperial College London,http://www.imperial.ac.uk/people/y.guo,-0q6cIYAAAAJ,europe,uk,unknown
Yingzhen Li,Imperial College London,http://yingzhenli.net/home/en/?page_id=345,gcfs8N8AAAAJ,europe,uk,unknown
Yves-Alexandre de Montjoye,Imperial College London,https://www.imperial.ac.uk/computing/people/academic-staff,LVJtdoEAAAAJ,europe,uk,unknown
A. Antony Franklin,IIT Hyderabad,http://www.iith.ac.in/~antony/index.html,LVfqLuoAAAAJ,asia,in,unknown
Bheemarjuna Reddy Tamma,IIT Hyderabad,http://www.iith.ac.in/~tbr,FYHCD2kAAAAJ,asia,in,unknown
C. Krishna Mohan,IIT Hyderabad,http://www.iith.ac.in/~ckm,GvSsuVEAAAAJ,asia,in,unknown
Ch. Sobhan Babu,IIT Hyderabad,https://www.iith.ac.in/~sobhan,NOSCHOLARPAGE,asia,in,unknown
Chalavadi Krishna Mohan,IIT Hyderabad,http://www.iith.ac.in/~ckm,GvSsuVEAAAAJ,asia,in,unknown
Fahad Panolan,IIT Hyderabad,https://iith.ac.in/~fahad,X6MthEgAAAAJ,asia,in,male
J. Saketha Nath,IIT Hyderabad,http://www.iith.ac.in/~saketha,k70LrvsAAAAJ,asia,in,unknown
Jagarlapudi Saketha Nath,IIT Hyderabad,http://www.iith.ac.in/~saketha,k70LrvsAAAAJ,asia,in,unknown
Karteek Sreenivasaiah,IIT Hyderabad,http://www.iith.ac.in/~karteek,NOSCHOLARPAGE,asia,in,unknown
Kotaro Kataoka,IIT Hyderabad,http://cse.iith.ac.in/profile/faculty/kotaro,uAuKJY4AAAAJ,asia,in,male
Krishna Mohan C,IIT Hyderabad,http://www.iith.ac.in/~ckm,GvSsuVEAAAAJ,asia,in,andy
M. V. Panduranga Rao,IIT Hyderabad,https://cse.iith.ac.in/?q=People/Faculty,WXSB53kAAAAJ,asia,in,unknown
Manish Singh 0002,IIT Hyderabad,https://www.iith.ac.in/~msingh,I1jX5vgAAAAJ,asia,in,male
